FORE_data,t2m_obs,rh2m_obs,w10m_obs,t2m_M,rh2m_M,w10m_M
90001_00,,,,13.74,32.124,4.239
90001_01,13.2,20.0,3.2,13.523,21.079,5.922000000000001
90001_02,14.1,19.0,4.5,14.632,20.995,6.301
90001_03,14.7,19.0,4.2,14.866,21.629,6.061
90001_04,15.2,19.0,3.3,14.488,23.143,6.495
90001_05,15.0,20.0,4.5,13.562999999999999,25.339000000000002,5.774
90001_06,13.5,23.0,1.5,10.729000000000001,30.923000000000002,2.995
90001_07,11.5,24.0,1.7,10.538,30.605,5.343999999999999
90001_08,11.0,28.0,2.6,9.311,34.745,4.279
90001_09,11.1,29.0,3.5,7.271,39.909,2.201
90001_10,9.7,32.0,1.4,6.571000000000001,41.841,1.7109999999999999
90001_11,7.1,42.0,1.0,5.832999999999999,43.913000000000004,1.189
90001_12,4.6,55.0,1.2,5.183,45.883,1.285
90001_13,1.6,70.0,0.7,4.311,49.93899999999999,1.4769999999999999
90001_14,1.1,72.0,1.0,3.66,51.503,0.9259999999999999
90001_15,-0.1,79.0,,3.2960000000000003,50.778,0.583
90001_16,-1.0,84.0,0.3,3.1510000000000002,50.288000000000004,0.655
90001_17,-1.4,85.0,0.4,2.9139999999999997,50.21,0.833
90001_18,-2.0,87.0,,2.74,50.038000000000004,1.061
90001_19,-2.3,88.0,,2.529,50.413000000000004,0.8440000000000001
90001_20,-2.4,90.0,,2.333,51.325,1.0190000000000001
90001_21,2.5,72.0,,6.486000000000001,44.549,1.7619999999999998
90001_22,7.4,45.0,1.2,9.282,33.554,4.552
90001_23,12.5,26.0,3.2,10.57,30.383000000000003,4.909
90001_24,13.7,22.0,2.8,11.343,28.971,4.793
90001_25,14.8,21.0,3.4,12.272,27.14,4.691
90001_26,15.3,21.0,2.9,13.165999999999999,25.458000000000002,4.598
90001_27,15.9,20.0,1.6,13.796,24.53,4.22
90001_28,16.4,20.0,3.2,14.110999999999999,24.162,3.978
90001_29,16.2,20.0,1.6,13.885,25.373,3.2910000000000004
90001_30,14.2,25.0,0.8,10.029,33.534,1.6119999999999999
90001_31,9.2,40.0,1.2,10.058,32.591,3.449
90001_32,10.8,32.0,1.6,8.463,37.595,2.73
90001_33,9.8,34.0,1.5,7.011,42.071000000000005,1.27
90001_34,5.5,54.0,,6.5120000000000005,43.886,1.119
90001_35,4.8,55.0,0.8,6.29,44.725,1.794
90001_36,2.4,68.0,,5.604,46.309,1.66
90002_00,,,,15.064,36.559,1.0979999999999999
90002_01,13.4,21.0,1.4,13.432,22.055,1.209
90002_02,14.3,21.0,5.3,15.600999999999999,22.615,5.417999999999999
90002_03,15.1,20.0,5.9,15.533,23.362,5.422999999999999
90002_04,15.4,19.0,3.8,15.533,23.955,5.175
90002_05,15.3,19.0,5.0,15.107000000000001,24.947,4.468
90002_06,14.2,21.0,4.1,12.685,28.895,2.9360000000000004
90002_07,12.7,25.0,1.0,11.914000000000001,28.853,4.141
90002_08,11.7,27.0,1.8,11.258,30.61,4.407
90002_09,8.6,39.0,1.5,10.539000000000001,33.048,4.115
90002_10,7.1,49.0,,9.754,35.093,3.503
90002_11,7.6,46.0,1.7,8.693,37.374,2.807
90002_12,9.7,35.0,1.4,7.405,40.632,2.0469999999999997
90002_13,9.5,33.0,1.5,5.353,48.828,0.9109999999999999
90002_14,8.0,41.0,1.6,5.281000000000001,49.281000000000006,0.833
90002_15,7.3,44.0,1.4,4.885,50.533,0.405
90002_16,6.1,53.0,0.8,4.329,52.553999999999995,0.522
90002_17,4.2,61.0,1.2,3.872,54.099,0.674
90002_18,2.7,72.0,1.0,4.107,51.45399999999999,1.199
90002_19,2.6,73.0,1.8,3.971,50.115,1.3419999999999999
90002_20,2.7,70.0,1.2,3.341,51.38,1.351
90002_21,5.2,58.0,,6.388999999999999,47.898999999999994,1.2329999999999999
90002_22,8.9,43.0,2.1,8.347999999999999,39.28,1.275
90002_23,11.1,39.0,1.4,9.789,35.126,1.3119999999999998
90002_24,13.4,31.0,2.4,10.754000000000001,32.899,1.39
90002_25,15.0,24.0,1.5,11.737,30.749000000000002,1.8780000000000001
90002_26,15.7,23.0,1.3,12.837,28.201,1.929
90002_27,16.0,23.0,2.8,13.614,26.605999999999998,1.615
90002_28,16.1,23.0,2.7,14.155,25.566999999999997,1.2919999999999998
90002_29,15.8,24.0,1.8,14.183,27.296,1.5119999999999998
90002_30,14.2,28.0,1.3,11.036,31.843000000000004,1.561
90002_31,10.5,48.0,,10.849,32.649,2.616
90002_32,8.3,54.0,0.5,10.163,35.078,2.9130000000000003
90002_33,7.1,64.0,0.6,9.503,38.454,2.904
90002_34,7.2,62.0,1.6,8.366,43.21,2.293
90002_35,7.1,57.0,1.1,7.1339999999999995,47.628,1.631
90002_36,6.7,55.0,1.6,6.417999999999999,50.401,1.411
90003_00,,,,12.022,33.288000000000004,4.074
90003_01,10.9,20.0,4.7,11.288,24.32,6.0520000000000005
90003_02,12.3,19.0,2.8,11.7,24.92,6.188
90003_03,12.4,19.0,2.8,11.741,26.351999999999997,5.8870000000000005
90003_04,12.7,20.0,1.9,11.405999999999999,27.809,6.103
90003_05,11.5,22.0,3.6,10.583,30.408,5.425
90003_06,10.2,27.0,4.1,7.67,38.608000000000004,2.504
90003_07,9.1,29.0,2.0,6.443,42.721000000000004,2.495
90003_08,8.4,30.0,3.1,5.4,46.663000000000004,2.45
90003_09,8.3,28.0,1.8,4.676,48.792,2.248
90003_10,6.6,33.0,1.2,3.6210000000000004,51.158,1.35
90003_11,6.7,33.0,0.3,3.043,52.637,1.149
90003_12,3.3,41.0,1.2,2.6,53.361000000000004,1.3719999999999999
90003_13,2.4,47.0,2.3,2.1390000000000002,53.662,0.9890000000000001
90003_14,1.9,49.0,2.4,1.706,53.881,1.05
90003_15,0.4,55.0,3.0,1.196,54.775,0.993
90003_16,0.4,54.0,1.8,0.828,55.855,1.1420000000000001
90003_17,-1.0,58.0,0.9,0.5920000000000001,56.5,1.2819999999999998
90003_18,-1.8,64.0,1.2,0.09300000000000001,58.589,1.129
90003_19,-2.0,65.0,3.0,-0.526,61.765,1.3
90003_20,-2.7,67.0,2.0,-1.05,64.814,1.107
90003_21,0.9,52.0,2.6,3.36,49.231,1.4380000000000002
90003_22,4.4,43.0,3.3,6.4510000000000005,37.948,3.885
90003_23,8.7,29.0,4.3,7.825,34.611,4.65
90003_24,10.0,26.0,4.9,9.306000000000001,31.46,5.309
90003_25,11.3,24.0,4.2,10.433,29.433000000000003,5.118
90003_26,13.3,22.0,3.6,11.355,27.875999999999998,5.106
90003_27,13.5,21.0,2.2,11.825,27.258000000000003,4.788
90003_28,13.9,21.0,3.5,11.874,27.444000000000003,4.57
90003_29,13.5,22.0,3.0,11.187999999999999,29.84,4.5089999999999995
90003_30,12.4,23.0,3.4,9.002,34.904,3.995
90003_31,11.4,25.0,3.1,8.191,37.918,4.378
90003_32,9.4,30.0,1.4,7.071000000000001,42.747,4.302
90003_33,8.5,31.0,2.9,5.646,47.053999999999995,3.0580000000000003
90003_34,7.8,34.0,2.7,5.41,48.167,3.458
90003_35,6.6,37.0,3.2,4.715,50.24100000000001,3.1660000000000004
90003_36,6.3,39.0,1.4,3.931,52.603,2.915
90004_00,,,,14.8,30.195999999999998,2.6239999999999997
90004_01,13.1,23.0,3.8,14.11,22.346,5.38
90004_02,14.6,22.0,2.8,14.731,22.195,6.3870000000000005
90004_03,14.7,22.0,1.5,14.728,23.074,6.218999999999999
90004_04,15.3,22.0,1.4,14.347999999999999,24.406,6.301
90004_05,14.9,24.0,0.8,13.402999999999999,27.259,5.7170000000000005
90004_06,13.1,27.0,1.6,11.552999999999999,31.686,4.0889999999999995
90004_07,8.7,39.0,1.4,10.632,34.12,4.605
90004_08,7.8,44.0,1.2,10.284,35.296,5.381
90004_09,5.2,58.0,0.8,9.783,36.506,5.122000000000001
90004_10,3.8,64.0,0.7,8.787,38.942,3.804
90004_11,2.2,71.0,0.7,7.897,41.13399999999999,3.3739999999999997
90004_12,0.9,79.0,1.3,6.433,45.521,2.51
90004_13,-0.1,83.0,1.2,6.268,45.086999999999996,2.658
90004_14,-0.7,83.0,1.0,6.697,41.816,3.198
90004_15,-1.0,83.0,0.5,5.88,43.797,2.8710000000000004
90004_16,-1.5,85.0,0.3,5.4639999999999995,45.498000000000005,2.762
90004_17,-2.1,88.0,1.0,4.603,47.474,2.316
90004_18,-2.1,88.0,0.3,4.82,47.363,2.613
90004_19,-2.3,87.0,0.7,5.261,48.326,3.168
90004_20,-2.6,91.0,0.6,5.195,48.501000000000005,3.535
90004_21,2.9,73.0,1.4,7.559,42.89,3.076
90004_22,7.7,52.0,1.2,9.05,36.0,3.134
90004_23,10.8,38.0,1.2,9.769,33.477,2.9330000000000003
90004_24,12.8,28.0,2.3,10.725,30.471999999999998,2.609
90004_25,13.8,26.0,2.5,12.057,27.682,2.6210000000000004
90004_26,14.9,26.0,,13.148,25.898000000000003,2.56
90004_27,15.6,24.0,1.5,13.852,25.141,2.639
90004_28,16.0,24.0,1.2,14.255,25.089000000000002,3.392
90004_29,15.8,24.0,1.4,14.01,26.086,3.377
90004_30,12.0,32.0,,9.754,35.797,2.116
90004_31,8.3,44.0,,9.23,39.56,2.7110000000000003
90004_32,5.3,54.0,0.5,9.356,40.744,3.3289999999999997
90004_33,4.1,61.0,,8.488999999999999,44.056000000000004,3.233
90004_34,2.5,70.0,,7.034,48.153999999999996,2.73
90004_35,1.5,74.0,,6.872000000000001,48.269,2.9010000000000002
90004_36,1.0,74.0,0.8,6.577000000000001,49.925,2.842
90005_00,,,,16.114,29.819000000000003,3.332
90005_01,13.6,19.0,4.1,15.305,20.074,4.715
90005_02,14.7,19.0,2.7,15.832,20.195999999999998,5.409
90005_03,15.8,17.0,3.7,16.186,20.655,4.812
90005_04,15.9,18.0,2.6,15.755,22.057,5.412000000000001
90005_05,15.4,19.0,3.4,14.886,23.443,4.487
90005_06,14.0,22.0,3.1,11.752,27.698,2.539
90005_07,11.8,26.0,1.2,10.212,31.175,1.7590000000000001
90005_08,11.0,28.0,1.3,9.698,33.434,2.239
90005_09,11.7,27.0,2.7,10.838,31.338,3.6519999999999997
90005_10,10.5,29.0,1.4,9.077,35.819,2.207
90005_11,8.9,36.0,1.8,7.447,41.187,1.452
90005_12,9.0,37.0,2.3,6.695,43.451,0.317
90005_13,9.9,34.0,2.7,6.15,44.746,1.068
90005_14,9.2,36.0,2.2,6.705,43.148,1.578
90005_15,6.8,44.0,1.4,6.501,44.062,1.4709999999999999
90005_16,8.3,39.0,1.4,5.351,47.25,0.802
90005_17,5.4,49.0,1.2,4.827,48.897,0.708
90005_18,5.9,46.0,3.0,5.093,48.7,1.171
90005_19,5.7,46.0,1.6,4.4510000000000005,50.24100000000001,0.583
90005_20,4.7,51.0,0.5,5.136,47.714,1.614
90005_21,7.9,42.0,0.6,8.302,43.85,2.174
90005_22,11.8,30.0,4.4,10.399000000000001,32.26,2.783
90005_23,13.4,27.0,1.4,11.697000000000001,28.026999999999997,3.495
90005_24,14.9,23.0,1.4,13.159,25.444000000000003,4.1
90005_25,15.7,22.0,3.3,14.189,24.096999999999998,3.76
90005_26,16.6,21.0,3.3,15.046,23.113000000000003,4.122
90005_27,17.7,20.0,3.2,15.5,22.88,4.372
90005_28,17.7,21.0,1.7,15.565,23.241,3.804
90005_29,17.4,20.0,3.0,15.314,24.128,3.0610000000000004
90005_30,15.6,24.0,2.1,10.722000000000001,32.384,1.54
90005_31,13.2,29.0,1.6,9.465,34.268,0.466
90005_32,12.4,29.0,1.3,8.998,36.353,1.276
90005_33,9.5,38.0,1.7,8.365,38.725,1.557
90005_34,8.7,38.0,0.7,7.638999999999999,40.374,1.4080000000000001
90005_35,8.9,38.0,1.2,7.369,40.107,1.544
90005_36,6.9,44.0,1.2,7.757999999999999,38.279,2.3209999999999997
90006_00,,,,14.187000000000001,26.070999999999998,1.0390000000000001
90006_01,13.5,14.0,3.2,11.944,14.565999999999999,1.073
90006_02,14.4,13.0,3.0,12.550999999999998,14.103,1.412
90006_03,14.2,14.0,1.1,12.526,14.395999999999999,1.253
90006_04,14.8,15.0,2.5,12.695,15.57,2.023
90006_05,12.7,19.0,3.3,11.773,20.424,3.96
90006_06,12.2,21.0,0.7,8.517000000000001,30.982,1.111
90006_07,9.3,29.0,1.1,7.005,32.09,0.853
90006_08,7.0,35.0,0.6,6.273,32.647,1.237
90006_09,5.5,40.0,1.8,6.93,32.912,3.457
90006_10,5.6,38.0,1.9,4.505,41.636,1.837
90006_11,4.6,41.0,1.1,3.603,43.873999999999995,1.297
90006_12,3.5,45.0,0.9,3.608,44.435,2.252
90006_13,2.6,48.0,1.3,3.014,47.051,1.446
90006_14,2.8,47.0,1.3,2.628,48.093999999999994,1.268
90006_15,2.1,51.0,1.1,2.189,49.523,1.3659999999999999
90006_16,2.3,48.0,1.1,1.9909999999999999,50.248000000000005,1.699
90006_17,1.8,50.0,1.0,1.755,50.693000000000005,1.321
90006_18,1.6,52.0,1.5,1.262,52.11,1.666
90006_19,0.6,56.0,1.4,1.246,50.28,1.896
90006_20,0.9,54.0,1.5,1.234,49.405,1.992
90006_21,0.9,56.0,1.4,5.087,41.027,1.7309999999999999
90006_22,4.9,45.0,,7.63,32.644,2.7039999999999997
90006_23,11.9,28.0,1.2,8.956,29.816,3.9210000000000003
90006_24,14.6,22.0,1.7,10.145,26.416,4.183
90006_25,15.3,22.0,1.7,11.129000000000001,23.813000000000002,4.2139999999999995
90006_26,15.9,21.0,2.8,11.838,22.185,4.541
90006_27,15.9,21.0,1.1,12.165999999999999,22.195,4.533
90006_28,16.6,20.0,1.5,12.187999999999999,21.756999999999998,4.3469999999999995
90006_29,14.1,25.0,3.2,11.727,22.656,3.6439999999999997
90006_30,12.2,29.0,1.0,8.226,31.386,0.7120000000000001
90006_31,10.0,35.0,1.3,6.944,32.24,0.735
90006_32,7.6,43.0,1.1,5.79,36.275,1.537
90006_33,6.5,46.0,1.3,4.43,42.159,0.8270000000000001
90006_34,5.6,49.0,1.4,3.803,44.434,0.354
90006_35,4.5,54.0,1.0,3.213,46.68899999999999,0.557
90006_36,4.3,53.0,1.0,2.7489999999999997,49.019,0.657
90007_00,,,,12.425,33.567,2.8110000000000004
90007_01,11.4,22.0,5.2,11.950999999999999,24.535999999999998,5.095
90007_02,13.0,21.0,2.2,12.152999999999999,25.410999999999998,4.712
90007_03,13.7,21.0,5.5,12.045,26.482,4.725
90007_04,14.1,21.0,5.4,11.651,28.086,4.995
90007_05,13.4,21.0,4.5,10.709000000000001,30.816,4.68
90007_06,11.6,24.0,1.5,8.318,38.078,2.928
90007_07,8.9,30.0,2.9,6.4110000000000005,45.001999999999995,1.4340000000000002
90007_08,7.5,33.0,1.8,5.457999999999999,48.07899999999999,0.877
90007_09,4.9,40.0,3.2,4.793,48.909,1.199
90007_10,2.2,50.0,2.0,4.181,50.518,0.938
90007_11,1.5,53.0,1.5,3.6839999999999997,53.832,1.9069999999999998
90007_12,0.2,57.0,1.4,3.4410000000000003,53.076,1.875
90007_13,-0.9,62.0,1.5,2.9960000000000004,53.341,1.263
90007_14,-1.4,64.0,1.5,2.395,54.61600000000001,0.436
90007_15,-2.4,67.0,0.9,1.964,54.515,1.575
90007_16,-3.0,70.0,1.3,1.4809999999999999,55.854,1.847
90007_17,-3.7,73.0,1.8,0.628,59.023,1.7080000000000002
90007_18,-4.4,75.0,1.3,0.843,58.417,1.964
90007_19,-5.0,78.0,1.3,0.609,59.085,1.411
90007_20,-5.5,80.0,1.2,0.555,57.824,1.589
90007_21,-4.3,78.0,1.0,4.003,48.401,1.0390000000000001
90007_22,0.3,58.0,2.2,5.981,39.25,1.3559999999999999
90007_23,5.7,41.0,1.2,8.025,33.365,4.02
90007_24,9.2,31.0,1.1,9.099,31.581999999999997,4.771
90007_25,12.8,24.0,4.4,10.168,30.195,4.672
90007_26,14.2,22.0,3.1,10.977,29.35,5.1080000000000005
90007_27,15.1,20.0,2.2,11.299000000000001,29.514,4.968
90007_28,15.5,20.0,2.2,11.229000000000001,30.471999999999998,4.906000000000001
90007_29,14.0,22.0,3.3,10.557,33.427,4.526
90007_30,12.0,25.0,3.5,8.577,39.687,3.957
90007_31,10.1,29.0,2.9,7.672000000000001,42.005,4.114
90007_32,8.0,34.0,1.4,5.564,49.898,1.476
90007_33,5.1,40.0,1.9,4.856,51.928999999999995,0.73
90007_34,3.3,47.0,1.2,4.086,54.107,1.0090000000000001
90007_35,2.2,51.0,1.1,3.555,53.043,1.2329999999999999
90007_36,0.8,56.0,1.6,3.168,53.721000000000004,0.975
90008_00,,,,8.905,40.535,8.855
90008_01,2.3,39.0,7.8,8.139,29.305999999999997,10.232000000000001
90008_02,3.2,39.0,5.9,8.465,29.458000000000002,9.861
90008_03,3.8,36.0,5.3,8.552999999999999,29.719,9.514
90008_04,4.3,35.0,6.2,8.458,29.872,9.007
90008_05,3.7,38.0,4.9,7.651,32.266,8.597999999999999
90008_06,2.6,42.0,5.8,6.222,38.266,6.946000000000001
90008_07,1.3,46.0,5.2,5.1160000000000005,43.27,5.537999999999999
90008_08,1.0,48.0,9.0,3.778,48.744,3.383
90008_09,0.7,49.0,7.7,2.6210000000000004,53.27,2.017
90008_10,0.4,50.0,6.6,2.637,53.756,2.449
90008_11,-0.1,53.0,5.9,2.269,56.143,2.766
90008_12,-0.1,54.0,7.1,2.088,56.537,3.2030000000000003
90008_13,-0.2,53.0,5.4,2.248,53.676,4.287
90008_14,-0.5,54.0,6.5,1.584,55.096000000000004,3.187
90008_15,-1.0,55.0,3.9,0.905,57.173,2.773
90008_16,-0.7,51.0,5.9,0.7,57.635,2.943
90008_17,-0.9,52.0,5.9,0.557,57.373000000000005,3.2880000000000003
90008_18,-1.6,55.0,4.0,0.69,55.701,4.434
90008_19,-1.4,55.0,5.8,1.964,49.04600000000001,7.207999999999999
90008_20,-1.1,55.0,5.5,1.3259999999999998,49.881,6.808
90008_21,-0.4,52.0,4.8,2.435,44.943999999999996,7.057
90008_22,0.5,51.0,6.3,4.025,39.395,7.93
90008_23,2.9,46.0,3.1,5.775,35.067,6.796
90008_24,5.0,41.0,4.2,7.292999999999999,32.042,5.641
90008_25,5.8,37.0,7.1,8.389,30.489,5.455
90008_26,6.6,36.0,4.5,9.097000000000001,29.98,5.105
90008_27,6.7,36.0,4.8,9.547,29.559,4.042
90008_28,6.7,34.0,3.9,9.621,29.753,4.109
90008_29,6.2,34.0,3.6,8.953,32.028,4.387
90008_30,4.8,37.0,4.6,6.692,39.021,4.8660000000000005
90008_31,3.4,41.0,5.1,5.513999999999999,43.583999999999996,5.345
90008_32,2.8,44.0,5.6,4.492,46.755,4.906000000000001
90008_33,2.3,48.0,2.9,3.963,47.238,4.523
90008_34,2.0,50.0,6.1,4.021,46.178999999999995,4.974
90008_35,1.5,51.0,2.2,3.877,45.903999999999996,5.439
90008_36,1.3,51.0,3.1,3.772,45.004,5.6160000000000005
90009_00,,,,15.466,28.717,3.319
90009_01,13.5,18.0,4.1,13.507,18.845,2.2840000000000003
90009_02,14.5,18.0,2.9,15.165999999999999,17.547,2.842
90009_03,14.8,18.0,4.1,15.979000000000001,17.879,3.427
90009_04,15.4,18.0,3.4,16.124000000000002,19.180999999999997,2.965
90009_05,15.3,19.0,4.6,15.62,20.557,3.535
90009_06,14.6,20.0,2.3,14.509,21.489,3.303
90009_07,13.6,21.0,2.1,13.585999999999999,23.103,3.065
90009_08,12.7,24.0,1.3,12.352,27.489,2.642
90009_09,11.4,27.0,1.7,11.485,29.669,2.595
90009_10,10.5,31.0,1.1,10.775,31.971999999999998,2.378
90009_11,9.1,36.0,2.5,10.457,32.836,2.298
90009_12,8.7,37.0,1.9,10.029,34.007,1.922
90009_13,5.8,50.0,0.8,9.262,35.516999999999996,1.531
90009_14,5.8,51.0,0.7,8.634,36.815,0.852
90009_15,3.7,61.0,0.9,8.449,37.17,0.447
90009_16,2.7,68.0,0.6,8.177999999999999,38.398,0.45
90009_17,2.4,70.0,0.6,6.8870000000000005,41.976000000000006,0.376
90009_18,2.0,75.0,0.7,5.702000000000001,45.211000000000006,0.183
90009_19,2.7,68.0,0.7,6.087999999999999,43.876000000000005,0.284
90009_20,2.6,70.0,1.3,5.343999999999999,45.79,0.58
90009_21,7.9,46.0,1.2,6.062,45.157,0.44799999999999995
90009_22,11.7,30.0,2.0,8.546,39.775,0.255
90009_23,13.7,26.0,1.5,10.780999999999999,31.83,1.594
90009_24,14.9,21.0,2.6,11.883,28.019000000000002,2.372
90009_25,15.4,22.0,3.0,12.829,25.151999999999997,2.334
90009_26,16.2,20.0,3.4,13.806,23.583000000000002,2.182
90009_27,16.6,19.0,1.9,14.524000000000001,22.57,1.9969999999999999
90009_28,17.4,19.0,2.9,14.649000000000001,22.734,1.669
90009_29,17.5,19.0,1.7,14.299000000000001,24.168000000000003,1.626
90009_30,16.2,22.0,2.2,12.133,28.336,0.991
90009_31,13.6,28.0,1.2,11.047,30.447,0.748
90009_32,11.6,34.0,1.5,10.43,31.695999999999998,0.128
90009_33,9.1,46.0,0.7,9.997,32.646,0.317
90009_34,8.9,46.0,2.2,9.257,34.369,0.426
90009_35,9.1,40.0,1.6,8.684,36.556,0.522
90009_36,8.2,46.0,1.5,8.804,37.845,0.6779999999999999
90010_00,,,,13.081,30.052,2.198
90010_01,13.2,17.0,2.7,11.677,17.680999999999997,3.9810000000000003
90010_02,12.7,19.0,1.2,12.365,19.011,6.622999999999999
90010_03,12.6,21.0,2.8,12.199000000000002,20.219,7.031000000000001
90010_04,13.1,19.0,1.1,11.946,22.219,7.084
90010_05,13.1,21.0,2.1,11.078,25.122,5.831
90010_06,11.7,23.0,1.0,8.789,31.839000000000002,3.195
90010_07,8.8,25.0,1.0,7.829,32.321999999999996,3.0580000000000003
90010_08,7.3,28.0,0.5,6.899,35.619,2.8369999999999997
90010_09,9.0,31.0,3.2,6.4510000000000005,38.738,3.182
90010_10,7.5,33.0,0.7,5.257999999999999,43.592,2.745
90010_11,6.0,36.0,2.0,4.58,46.351000000000006,2.494
90010_12,5.5,38.0,1.2,3.992,47.5,2.101
90010_13,4.3,42.0,1.5,3.5389999999999997,49.303000000000004,1.959
90010_14,2.7,49.0,2.1,3.04,50.79,1.538
90010_15,2.0,52.0,1.0,2.645,51.571000000000005,2.218
90010_16,1.5,54.0,0.9,2.4290000000000003,51.688,2.661
90010_17,0.3,59.0,0.8,2.134,52.022,2.502
90010_18,-0.4,62.0,1.1,1.963,51.089,2.556
90010_19,-1.0,63.0,1.5,1.785,50.383,2.635
90010_20,-1.6,67.0,1.5,1.5930000000000002,51.365,2.291
90010_21,1.5,56.0,0.9,4.78,45.473,1.6869999999999998
90010_22,6.6,40.0,1.2,7.855,34.982,1.875
90010_23,8.7,36.0,2.2,9.546,29.543000000000003,4.2
90010_24,13.5,25.0,1.3,10.555,26.344,4.771
90010_25,13.0,25.0,4.5,11.218,24.480999999999998,4.901
90010_26,15.7,20.0,3.0,11.88,23.61,5.037
90010_27,14.6,21.0,3.7,12.314,22.223000000000003,4.726
90010_28,15.1,21.0,2.5,12.384,22.283,4.393
90010_29,15.2,22.0,2.4,11.982000000000001,23.508000000000003,3.78
90010_30,13.6,24.0,1.7,8.592,32.941,0.733
90010_31,11.1,29.0,1.1,7.254,34.329,0.903
90010_32,8.7,35.0,1.3,6.315,37.351,1.6130000000000002
90010_33,6.2,43.0,1.0,5.456,40.608000000000004,2.53
90010_34,4.9,48.0,1.3,4.936,41.61,2.375
90010_35,3.7,52.0,1.4,4.34,42.409,1.291
90010_36,2.6,56.0,0.3,3.853,42.952,0.486
